id,date,open,high,low,close,old_close,volume,amount,active_value,total_value
sh600132,1997/10/30,12,12.82,11.81,12.12,5.54,21455500,263141712,436320000,1902840000
sh600132,1997/10/31,11.77,11.82,11.1,11.32,12.12,7439800,84416271,407520000,1777240000
sh600132,1997/11/3,11.18,11.4,10.85,10.95,11.32,2411000,26602476,394200000,1719150000
sh600132,1997/11/4,10.8,11.3,10.8,11.12,10.95,2161300,23975526,400320000,1745840000
sh600132,1997/11/5,11.1,11.19,10.75,10.88,11.12,2709900,29552163,391680000,1708160000
sh600132,1997/11/6,10.9,11.2,10.77,11.05,10.88,2545700,27884778,397800000,1734850000
sh600132,1997/11/7,11.17,11.28,10.8,11.07,11.05,2047400,22617885,398520000,1737990000
sh600132,1997/11/10,11.1,11.2,10.51,10.6,11.07,1631400,17683724,381600000,1664200000
sh600132,1997/11/11,10.5,10.58,10.02,10.3,10.6,1965000,20188866,370800000,1617100000
sh600132,1997/11/12,10.3,10.48,10,10.02,10.3,1424100,14444557,360720000,1573140000
sh600132,1997/11/13,10.02,10.5,10.02,10.45,10.02,1573700,16179899,376200000,1640650000
sh600132,1997/11/14,10.39,10.47,10.18,10.23,10.45,865400,8920737,368280000,1606110000
sh600132,1997/11/17,10.48,10.48,10.06,10.07,10.23,669300,6802321,362520000,1580990000
sh600132,1997/11/18,10.05,10.15,9.75,9.76,10.07,1127900,11171808,351360000,1532320000
sh600132,1997/11/19,9.7,10,9.61,9.7,9.76,789200,7708692,349200000,1522900000
sh600132,1997/11/20,9.7,9.88,9.48,9.56,9.7,805900,7811640,344160000,1500920000
sh600132,1997/11/21,9.5,9.55,9.18,9.21,9.56,1082700,10079260,331560000,1445970000
sh600132,1997/11/24,9.12,9.4,9.09,9.16,9.21,860300,7967456,329760000,1438120000
sh600132,1997/11/25,9.1,9.28,9.1,9.27,9.16,639300,5877963,333720000,1455390000
sh600132,1997/11/26,9.32,9.52,9.23,9.52,9.27,596800,5595000,342720000,1494640000
sh600132,1997/11/27,9.4,9.49,9,9.1,9.52,576300,5295000,327600000,1428700000
sh600132,1997/11/28,9,9.43,8.9,9.38,9.1,632200,5815000,337680000,1472660000
sh600132,1997/12/1,9.38,9.38,9.11,9.19,9.38,370300,3409405,330840000,1442830000
sh600132,1997/12/2,9.1,9.26,9.1,9.17,9.19,301200,2767912,330120000,1439690000
sh600132,1997/12/3,9.17,9.17,8.99,9,9.17,403500,3641338,324000000,1413000000
sh600132,1997/12/4,9.01,9.35,8.92,9.25,9,490400,4490243,333000000,1452250000
sh600132,1997/12/5,9.3,9.35,9.01,9.1,9.25,548800,5029686,327600000,1428700000
sh600132,1997/12/8,9.11,9.48,9.11,9.4,9.1,676100,6329313,338400000,1475800000
sh600132,1997/12/9,9.39,9.5,9.27,9.5,9.4,493700,4633335,342000000,1491500000
sh600132,1997/12/10,9.45,9.65,9.41,9.48,9.5,724100,6906977,341280000,1488360000
sh600132,1997/12/11,9.5,9.51,9.25,9.35,9.48,404500,3775890,336600000,1467950000
sh600132,1997/12/12,9.45,9.45,9.23,9.26,9.35,369000,3429672,333360000,1453820000
sh600132,1997/12/15,9.3,9.6,9.26,9.58,9.26,724800,6836585,344880000,1504060000
sh600132,1997/12/16,9.58,9.82,9.5,9.66,9.58,1276300,12420508,347760000,1516620000
sh600132,1997/12/17,9.56,9.56,9.2,9.28,9.66,839300,7861273,334080000,1456960000
sh600132,1997/12/18,9.11,9.39,9.11,9.2,9.28,480900,4444826,331200000,1444400000
sh600132,1997/12/19,9.22,9.48,9.22,9.45,9.2,573300,5356249,340200000,1483650000
sh600132,1997/12/22,9.48,9.75,9.3,9.7,9.45,960900,9151164,349200000,1522900000
sh600132,1997/12/23,9.7,9.77,9.42,9.5,9.7,542500,5191920,342000000,1491500000
sh600132,1997/12/24,9.5,9.8,9.42,9.72,9.5,858500,8300569,349920000,1526040000
sh600132,1997/12/25,9.7,10.18,9.7,10.15,9.72,2268700,22653840,365400000,1593550000
sh600132,1997/12/26,10.19,10.27,9.95,10.1,10.15,1419500,14356780,363600000,1585700000
sh600132,1997/12/29,10.1,10.3,9.9,9.9,10.1,985600,9990557,356400000,1554300000
sh600132,1997/12/30,9.9,9.9,9.71,9.76,9.9,637900,6248826,351360000,1532320000
sh600132,1997/12/31,9.75,10.1,9.73,9.99,9.76,670900,6682449,359640000,1568430000
sh600132,1998/1/5,10.05,10.23,10,10.06,9.99,981800,9907051,362160000,1579420000
sh600132,1998/1/6,10.06,10.18,9.8,10.15,10.06,1255600,12536508,365400000,1593550000
sh600132,1998/1/7,10.16,10.38,10.05,10.32,10.15,1229500,12527225,371520000,1620240000
sh600132,1998/1/8,10.3,10.45,10.02,10.21,10.32,739200,7552458,367560000,1602970000
sh600132,1998/1/9,10.15,10.18,9.8,9.95,10.21,1025500,10238374,358200000,1562150000
sh600132,1998/1/12,10,10.05,9.71,9.74,9.95,1099200,10812612,350640000,1529180000
sh600132,1998/1/13,9.6,9.65,8.77,9.1,9.74,1500000,13668632,327600000,1428700000
sh600132,1998/1/14,9.2,9.47,9.08,9.3,9.1,973400,9024869,334800000,1460100000
sh600132,1998/1/15,9.35,9.44,9.1,9.32,9.3,698500,6494514,335520000,1463240000
sh600132,1998/1/16,9.35,9.57,9.29,9.35,9.32,418300,3926452,336600000,1467950000
sh600132,1998/1/19,9.32,9.45,9.16,9.19,9.35,522800,4833611,330840000,1442830000
sh600132,1998/1/20,9.2,9.38,9.1,9.3,9.19,458900,4216651,334800000,1460100000
sh600132,1998/1/21,9.38,9.45,9.28,9.33,9.3,398000,3731245,335880000,1464810000
sh600132,1998/1/22,9.2,9.51,9.2,9.45,9.33,499200,4704015,340200000,1483650000
sh600132,1998/1/23,9.57,9.78,9.45,9.72,9.45,786800,7602001,349920000,1526040000
sh600132,1998/2/9,9.95,9.98,9.76,9.83,9.72,726300,7151007,353880000,1543310000
sh600132,1998/2/10,9.81,10.08,9.72,10,9.83,960600,9554481,360000000,1570000000
sh600132,1998/2/11,10,10.16,9.9,10.02,10,717600,7223632,360720000,1573140000
sh600132,1998/2/12,10.03,10.1,9.8,9.85,10.02,560400,5531565,354600000,1546450000
sh600132,1998/2/13,9.85,9.9,9.74,9.81,9.85,422000,4140947,353160000,1540170000
sh600132,1998/2/16,9.75,9.8,9.54,9.6,9.81,626700,6030357,345600000,1507200000
